Product Name,Description,Faceveneer,Thickness (mm),Core Material,Glue,Weight/Board,Chemical Dipping,Film Face Color,Film Face GSM,Wire Mesh,Grade,Rate/SqFt
Commercial Plywood,MR (Moisture Resistant),Okoume,12,,,,TRUE,,,,MR (Moisture Resistant),33
Commercial Plywood,MR (Moisture Resistant),Okoume,14,,,,FALSE,,,,MR (Moisture Resistant),34.5
Commercial Plywood,MR (Moisture Resistant),Okoume,14,,,,TRUE,,,,MR (Moisture Resistant),36
Commercial Plywood,MR (Moisture Resistant),Okoume,16,,,,FALSE,,,,MR (Moisture Resistant),37.5
Commercial Plywood,MR (Moisture Resistant),Okoume,16,,,,TRUE,,,,MR (Moisture Resistant),39
Commercial Plywood,MR (Moisture Resistant),Okoume,18,,,,FALSE,,,,MR (Moisture Resistant),41
Commercial Plywood,MR (Moisture Resistant),Okoume,18,,,,TRUE,,,,MR (Moisture Resistant),42.5
Commercial Plywood,MR (Moisture Resistant),Okoume,20,,,,FALSE,,,,MR (Moisture Resistant),42
Commercial Plywood,MR (Moisture Resistant),Okoume,20,,,,TRUE,,,,MR (Moisture Resistant),43.5
Commercial Plywood,MR (Moisture Resistant),Okoume,25,,,,FALSE,,,,MR (Moisture Resistant),59.5
Commercial Plywood,MR (Moisture Resistant),Okoume,25,,,,TRUE,,,,MR (Moisture Resistant),61
Commercial Plywood,MR (Moisture Resistant),PLB,4.5,,,,FALSE,,,,MR (Moisture Resistant),19.5
Commercial Plywood,MR (Moisture Resistant),PLB,4.5,,,,TRUE,,,,MR (Moisture Resistant),21
Commercial Plywood,MR (Moisture Resistant),PLB,6,,,,FALSE,,,,MR (Moisture Resistant),24
Commercial Plywood,MR (Moisture Resistant),PLB,6,,,,TRUE,,,,MR (Moisture Resistant),25.5
Commercial Plywood,MR (Moisture Resistant),PLB,8,,,,FALSE,,,,MR (Moisture Resistant),24.5
Commercial Plywood,MR (Moisture Resistant),PLB,8,,,,TRUE,,,,MR (Moisture Resistant),26
Commercial Plywood,MR (Moisture Resistant),PLB,10,,,,FALSE,,,,MR (Moisture Resistant),30
Commercial Plywood,MR (Moisture Resistant),PLB,10,,,,TRUE,,,,MR (Moisture Resistant),31.5
Commercial Plywood,MR (Moisture Resistant),PLB,12,,,,FALSE,,,,MR (Moisture Resistant),31.5
Commercial Plywood,MR (Moisture Resistant),PLB,12,,,,TRUE,,,,MR (Moisture Resistant),33
Commercial Plywood,MR (Moisture Resistant),PLB,14,,,,FALSE,,,,MR (Moisture Resistant),34.5
Commercial Plywood,MR (Moisture Resistant),PLB,14,,,,TRUE,,,,MR (Moisture Resistant),36
Commercial Plywood,MR (Moisture Resistant),PLB,16,,,,FALSE,,,,MR (Moisture Resistant),37.5
Commercial Plywood,MR (Moisture Resistant),PLB,16,,,,TRUE,,,,MR (Moisture Resistant),39
Commercial Plywood,MR (Moisture Resistant),PLB,18,,,,FALSE,,,,MR (Moisture Resistant),41
Commercial Plywood,MR (Moisture Resistant),PLB,18,,,,TRUE,,,,MR (Moisture Resistant),42.5
Commercial Plywood,MR (Moisture Resistant),PLB,20,,,,FALSE,,,,MR (Moisture Resistant),42
Commercial Plywood,MR (Moisture Resistant),PLB,20,,,,TRUE,,,,MR (Moisture Resistant),43.5
Commercial Plywood,MR (Moisture Resistant),PLB,25,,,,FALSE,,,,MR (Moisture Resistant),59.5
Commercial Plywood,MR (Moisture Resistant),PLB,25,,,,TRUE,,,,MR (Moisture Resistant),61
Commercial Plywood,MR (Moisture Resistant),Gurjan,4.5,,,,FALSE,,,,MR (Moisture Resistant),19.5
Commercial Plywood,MR (Moisture Resistant),Gurjan,4.5,,,,TRUE,,,,MR (Moisture Resistant),21
Commercial Plywood,MR (Moisture Resistant),Gurjan,6,,,,FALSE,,,,MR (Moisture Resistant),24
Commercial Plywood,MR (Moisture Resistant),Gurjan,6,,,,TRUE,,,,MR (Moisture Resistant),25.5
Commercial Plywood,MR (Moisture Resistant),Gurjan,8,,,,FALSE,,,,MR (Moisture Resistant),24.5
Commercial Plywood,MR (Moisture Resistant),Gurjan,8,,,,TRUE,,,,MR (Moisture Resistant),26
Commercial Plywood,MR (Moisture Resistant),Gurjan,10,,,,FALSE,,,,MR (Moisture Resistant),30
Commercial Plywood,MR (Moisture Resistant),Gurjan,10,,,,TRUE,,,,MR (Moisture Resistant),31.5
Commercial Plywood,MR (Moisture Resistant),Gurjan,12,,,,FALSE,,,,MR (Moisture Resistant),31.5
Commercial Plywood,MR (Moisture Resistant),Gurjan,12,,,,TRUE,,,,MR (Moisture Resistant),33
Commercial Plywood,MR (Moisture Resistant),Gurjan,14,,,,FALSE,,,,MR (Moisture Resistant),34.5
Commercial Plywood,MR (Moisture Resistant),Gurjan,14,,,,TRUE,,,,MR (Moisture Resistant),36
Commercial Plywood,MR (Moisture Resistant),Gurjan,16,,,,FALSE,,,,MR (Moisture Resistant),37.5
Commercial Plywood,MR (Moisture Resistant),Gurjan,16,,,,TRUE,,,,MR (Moisture Resistant),39
Commercial Plywood,MR (Moisture Resistant),Gurjan,18,,,,FALSE,,,,MR (Moisture Resistant),41
Commercial Plywood,MR (Moisture Resistant),Gurjan,18,,,,TRUE,,,,MR (Moisture Resistant),42.5
Commercial Plywood,MR (Moisture Resistant),Gurjan,20,,,,FALSE,,,,MR (Moisture Resistant),42
Commercial Plywood,MR (Moisture Resistant),Gurjan,20,,,,TRUE,,,,MR (Moisture Resistant),43.5
Commercial Plywood,MR (Moisture Resistant),Gurjan,25,,,,FALSE,,,,MR (Moisture Resistant),59.5
Commercial Plywood,MR (Moisture Resistant),Gurjan,25,,,,TRUE,,,,MR (Moisture Resistant),61
Semi-Hardwood Plywood,MR (Moisture Resistant),Okoume,6,,,,FALSE,,,,MR (Moisture Resistant),26
Semi-Hardwood Plywood,MR (Moisture Resistant),Okoume,6,,,,TRUE,,,,MR (Moisture Resistant),27.5
Semi-Hardwood Plywood,MR (Moisture Resistant),Okoume,8,,,,FALSE,,,,MR (Moisture Resistant),29
Semi-Hardwood Plywood,MR (Moisture Resistant),Okoume,8,,,,TRUE,,,,MR (Moisture Resistant),30.5
Semi-Hardwood Plywood,MR (Moisture Resistant),Okoume,12,,,,FALSE,,,,MR (Moisture Resistant),33
Semi-Hardwood Plywood,MR (Moisture Resistant),Okoume,12,,,,TRUE,,,,MR (Moisture Resistant),34.5
Semi-Hardwood Plywood,MR (Moisture Resistant),Okoume,16,,,,FALSE,,,,MR (Moisture Resistant),41
Semi-Hardwood Plywood,MR (Moisture Resistant),Okoume,16,,,,TRUE,,,,MR (Moisture Resistant),42.5
Semi-Hardwood Plywood,MR (Moisture Resistant),Okoume,18,,,,FALSE,,,,MR (Moisture Resistant),42
Semi-Hardwood Plywood,MR (Moisture Resistant),Okoume,18,,,,TRUE,,,,MR (Moisture Resistant),43.5
Semi-Hardwood Plywood,MR (Moisture Resistant),Gurjan,6,,,,FALSE,,,,MR (Moisture Resistant),30.5
Semi-Hardwood Plywood,MR (Moisture Resistant),Gurjan,6,,,,TRUE,,,,MR (Moisture Resistant),32
Semi-Hardwood Plywood,MR (Moisture Resistant),Gurjan,8,,,,FALSE,,,,MR (Moisture Resistant),37
Semi-Hardwood Plywood,MR (Moisture Resistant),Gurjan,8,,,,TRUE,,,,MR (Moisture Resistant),38.5
Semi-Hardwood Plywood,MR (Moisture Resistant),Gurjan,12,,,,FALSE,,,,MR (Moisture Resistant),39
Semi-Hardwood Plywood,MR (Moisture Resistant),Gurjan,12,,,,TRUE,,,,MR (Moisture Resistant),40.5
Semi-Hardwood Plywood,MR (Moisture Resistant),Gurjan,16,,,,FALSE,,,,MR (Moisture Resistant),46
Semi-Hardwood Plywood,MR (Moisture Resistant),Gurjan,16,,,,TRUE,,,,MR (Moisture Resistant),47.5
Semi-Hardwood Plywood,MR (Moisture Resistant),Gurjan,18,,,,FALSE,,,,MR (Moisture Resistant),47
Semi-Hardwood Plywood,MR (Moisture Resistant),Gurjan,18,,,,TRUE,,,,MR (Moisture Resistant),48.5
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Okoume,6,,,,FALSE,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",32
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Okoume,6,,,,TRUE,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",33.5
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Okoume,8,,,,FALSE,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",39
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Okoume,8,,,,TRUE,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",40.5
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Okoume,12,,,,FALSE,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",43
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Okoume,12,,,,TRUE,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",44.5
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Okoume,16,,,,FALSE,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",52
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Okoume,16,,,,TRUE,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",53.5
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Okoume,18,,,,FALSE,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",53
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Okoume,18,,,,TRUE,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",54.5
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,6,,,,FALSE,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",32
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,6,,,,TRUE,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",33.5
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,8,,,,FALSE,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",39
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,8,,,,TRUE,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",40.5
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,12,,,,FALSE,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",43
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,12,,,,TRUE,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",44.5
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,16,,,,FALSE,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",52
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,16,,,,TRUE,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",53.5
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,18,,,,FALSE,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",53
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,18,,,,TRUE,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",54.5
Full Red Core Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,6,,,,FALSE,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",36
Full Red Core Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,6,,,,TRUE,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",37.5
Full Red Core Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,8,,,,FALSE,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",41
Full Red Core Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,8,,,,TRUE,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",42.5
Full Red Core Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,12,,,,FALSE,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",47
