Product Name,Description,Faceveneer,Thickness (mm),Core Material,Glue,Weight/Board,Chemical Dipping,Film Face Color,Film Face GSM,Wire Mesh,Grade,Rate/SqFt
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),30,,Red,180,,"Film Faced, MUF Grade",44
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),30,,Black,80,,"Film Faced, MUF Grade",45
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),30,,Black,100,,"Film Faced, MUF Grade",45
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),30,,Black,120,,"Film Faced, MUF Grade",45
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),30,,Black,180,,"Film Faced, MUF Grade",45
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Phenol Formaldehyde (PF),30,,Red,80,,"Film Faced, MUF Grade",44
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Phenol Formaldehyde (PF),30,,Red,100,,"Film Faced, MUF Grade",44
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Phenol Formaldehyde (PF),30,,Red,120,,"Film Faced, MUF Grade",44
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Phenol Formaldehyde (PF),30,,Red,180,,"Film Faced, MUF Grade",44
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Phenol Formaldehyde (PF),30,,Black,80,,"Film Faced, MUF Grade",45
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Phenol Formaldehyde (PF),30,,Black,100,,"Film Faced, MUF Grade",45
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Phenol Formaldehyde (PF),30,,Black,120,,"Film Faced, MUF Grade",45
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Phenol Formaldehyde (PF),30,,Black,180,,"Film Faced, MUF Grade",45
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),34,,Red,80,,"Film Faced, MUF Grade",48
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),34,,Red,100,,"Film Faced, MUF Grade",48
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),34,,Red,120,,"Film Faced, MUF Grade",48
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),34,,Red,180,,"Film Faced, MUF Grade",48
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),34,,Black,80,,"Film Faced, MUF Grade",49
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),34,,Black,100,,"Film Faced, MUF Grade",49
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),34,,Black,120,,"Film Faced, MUF Grade",49
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),34,,Black,180,,"Film Faced, MUF Grade",49
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Phenol Formaldehyde (PF),34,,Red,80,,"Film Faced, MUF Grade",48
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Phenol Formaldehyde (PF),34,,Red,100,,"Film Faced, MUF Grade",48
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Phenol Formaldehyde (PF),34,,Red,120,,"Film Faced, MUF Grade",48
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Phenol Formaldehyde (PF),34,,Red,180,,"Film Faced, MUF Grade",48
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Phenol Formaldehyde (PF),34,,Black,80,,"Film Faced, MUF Grade",49
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Phenol Formaldehyde (PF),34,,Black,100,,"Film Faced, MUF Grade",49
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Phenol Formaldehyde (PF),34,,Black,120,,"Film Faced, MUF Grade",49
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Phenol Formaldehyde (PF),34,,Black,180,,"Film Faced, MUF Grade",49
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),35,,Red,80,,"Film Faced, MUF Grade",54
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),35,,Red,100,,"Film Faced, MUF Grade",54
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),35,,Red,120,,"Film Faced, MUF Grade",54
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),35,,Red,180,,"Film Faced, MUF Grade",54
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),35,,Black,80,,"Film Faced, MUF Grade",55
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),35,,Black,100,,"Film Faced, MUF Grade",55
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),35,,Black,120,,"Film Faced, MUF Grade",55
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),35,,Black,180,,"Film Faced, MUF Grade",55
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),35,,Red,80,,"Film Faced, MUF Grade",54
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),35,,Red,100,,"Film Faced, MUF Grade",54
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),35,,Red,120,,"Film Faced, MUF Grade",54
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),35,,Red,180,,"Film Faced, MUF Grade",54
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),35,,Black,80,,"Film Faced, MUF Grade",55
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),35,,Black,100,,"Film Faced, MUF Grade",55
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),35,,Black,120,,"Film Faced, MUF Grade",55
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),35,,Black,180,,"Film Faced, MUF Grade",55
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),40,,Red,80,,"Film Faced, MUF Grade",61
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),40,,Red,100,,"Film Faced, MUF Grade",61
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),40,,Red,120,,"Film Faced, MUF Grade",61
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),40,,Red,180,,"Film Faced, MUF Grade",61
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),40,,Black,80,,"Film Faced, MUF Grade",62
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),40,,Black,100,,"Film Faced, MUF Grade",62
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),40,,Black,120,,"Film Faced, MUF Grade",62
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),40,,Black,180,,"Film Faced, MUF Grade",62
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),40,,Red,80,,"Film Faced, MUF Grade",61
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),40,,Red,100,,"Film Faced, MUF Grade",61
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),40,,Red,120,,"Film Faced, MUF Grade",61
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),40,,Red,180,,"Film Faced, MUF Grade",61
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),40,,Black,80,,"Film Faced, MUF Grade",62
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),40,,Black,100,,"Film Faced, MUF Grade",62
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),40,,Black,120,,"Film Faced, MUF Grade",62
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),40,,Black,180,,"Film Faced, MUF Grade",62
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),45,,Red,80,,"Film Faced, MUF Grade",67
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),45,,Red,100,,"Film Faced, MUF Grade",67
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),45,,Red,120,,"Film Faced, MUF Grade",67
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),45,,Red,180,,"Film Faced, MUF Grade",67
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),45,,Black,80,,"Film Faced, MUF Grade",68
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),45,,Black,100,,"Film Faced, MUF Grade",68
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),45,,Black,120,,"Film Faced, MUF Grade",68
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),45,,Black,180,,"Film Faced, MUF Grade",68
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),45,,Red,80,,"Film Faced, MUF Grade",67
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),45,,Red,100,,"Film Faced, MUF Grade",67
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),45,,Red,120,,"Film Faced, MUF Grade",67
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),45,,Red,180,,"Film Faced, MUF Grade",67
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),45,,Black,80,,"Film Faced, MUF Grade",68
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),45,,Black,100,,"Film Faced, MUF Grade",68
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),45,,Black,120,,"Film Faced, MUF Grade",68
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),45,,Black,180,,"Film Faced, MUF Grade",68
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),50,,Red,80,,"Film Faced, MUF Grade",74
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),50,,Red,100,,"Film Faced, MUF Grade",74
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),50,,Red,120,,"Film Faced, MUF Grade",74
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),50,,Red,180,,"Film Faced, MUF Grade",74
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),50,,Black,80,,"Film Faced, MUF Grade",75
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),50,,Black,100,,"Film Faced, MUF Grade",75
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),50,,Black,120,,"Film Faced, MUF Grade",75
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Melamine Urea Formaldehyde (MUF),50,,Black,180,,"Film Faced, MUF Grade",75
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),50,,Red,80,,"Film Faced, MUF Grade",74
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),50,,Red,100,,"Film Faced, MUF Grade",74
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),50,,Red,120,,"Film Faced, MUF Grade",74
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),50,,Red,180,,"Film Faced, MUF Grade",74
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),50,,Black,80,,"Film Faced, MUF Grade",75
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),50,,Black,100,,"Film Faced, MUF Grade",75
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),50,,Black,120,,"Film Faced, MUF Grade",75
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,18,,Phenol Formaldehyde (PF),50,,Black,180,,"Film Faced, MUF Grade",75
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Melamine Urea Formaldehyde (MUF),30,,Red,80,,"Film Faced, PF Grade",52
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Melamine Urea Formaldehyde (MUF),30,,Red,100,,"Film Faced, PF Grade",52
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Melamine Urea Formaldehyde (MUF),30,,Red,120,,"Film Faced, PF Grade",52
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Melamine Urea Formaldehyde (MUF),30,,Red,180,,"Film Faced, PF Grade",52
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Melamine Urea Formaldehyde (MUF),30,,Black,80,,"Film Faced, PF Grade",53
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Melamine Urea Formaldehyde (MUF),30,,Black,100,,"Film Faced, PF Grade",53
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Melamine Urea Formaldehyde (MUF),30,,Black,120,,"Film Faced, PF Grade",53
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Melamine Urea Formaldehyde (MUF),30,,Black,180,,"Film Faced, PF Grade",53
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Phenol Formaldehyde (PF),30,,Red,80,,"Film Faced, PF Grade",52
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Phenol Formaldehyde (PF),30,,Red,100,,"Film Faced, PF Grade",52
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Phenol Formaldehyde (PF),30,,Red,120,,"Film Faced, PF Grade",52
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Phenol Formaldehyde (PF),30,,Red,180,,"Film Faced, PF Grade",52
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Phenol Formaldehyde (PF),30,,Black,80,,"Film Faced, PF Grade",53
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Phenol Formaldehyde (PF),30,,Black,100,,"Film Faced, PF Grade",53
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Phenol Formaldehyde (PF),30,,Black,120,,"Film Faced, PF Grade",53
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Phenol Formaldehyde (PF),30,,Black,180,,"Film Faced, PF Grade",53
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Melamine Urea Formaldehyde (MUF),34,,Red,80,,"Film Faced, PF Grade",56
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Melamine Urea Formaldehyde (MUF),34,,Red,100,,"Film Faced, PF Grade",56
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Melamine Urea Formaldehyde (MUF),34,,Red,120,,"Film Faced, PF Grade",56
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Melamine Urea Formaldehyde (MUF),34,,Red,180,,"Film Faced, PF Grade",56
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Melamine Urea Formaldehyde (MUF),34,,Black,80,,"Film Faced, PF Grade",57
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Melamine Urea Formaldehyde (MUF),34,,Black,100,,"Film Faced, PF Grade",57
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Melamine Urea Formaldehyde (MUF),34,,Black,120,,"Film Faced, PF Grade",57
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Melamine Urea Formaldehyde (MUF),34,,Black,180,,"Film Faced, PF Grade",57
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Phenol Formaldehyde (PF),34,,Red,80,,"Film Faced, PF Grade",56
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Phenol Formaldehyde (PF),34,,Red,100,,"Film Faced, PF Grade",56
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Phenol Formaldehyde (PF),34,,Red,120,,"Film Faced, PF Grade",56
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Phenol Formaldehyde (PF),34,,Red,180,,"Film Faced, PF Grade",56
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Phenol Formaldehyde (PF),34,,Black,80,,"Film Faced, PF Grade",57
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Phenol Formaldehyde (PF),34,,Black,100,,"Film Faced, PF Grade",57
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Phenol Formaldehyde (PF),34,,Black,120,,"Film Faced, PF Grade",57
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,12,,Phenol Formaldehyde (PF),34,,Black,180,,"Film Faced, PF Grade",57
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Melamine Urea Formaldehyde (MUF),40,,Red,80,,"Film Faced, PF Grade",67
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Melamine Urea Formaldehyde (MUF),40,,Red,100,,"Film Faced, PF Grade",67
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Melamine Urea Formaldehyde (MUF),40,,Red,120,,"Film Faced, PF Grade",67
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Melamine Urea Formaldehyde (MUF),40,,Red,180,,"Film Faced, PF Grade",67
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Melamine Urea Formaldehyde (MUF),40,,Black,80,,"Film Faced, PF Grade",68
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Melamine Urea Formaldehyde (MUF),40,,Black,100,,"Film Faced, PF Grade",68
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Melamine Urea Formaldehyde (MUF),40,,Black,120,,"Film Faced, PF Grade",68
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Melamine Urea Formaldehyde (MUF),40,,Black,180,,"Film Faced, PF Grade",68
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Phenol Formaldehyde (PF),40,,Red,80,,"Film Faced, PF Grade",67
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Phenol Formaldehyde (PF),40,,Red,100,,"Film Faced, PF Grade",67
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Phenol Formaldehyde (PF),40,,Red,120,,"Film Faced, PF Grade",67
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Phenol Formaldehyde (PF),40,,Red,180,,"Film Faced, PF Grade",67
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Phenol Formaldehyde (PF),40,,Black,80,,"Film Faced, PF Grade",68
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Phenol Formaldehyde (PF),40,,Black,100,,"Film Faced, PF Grade",68
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Phenol Formaldehyde (PF),40,,Black,120,,"Film Faced, PF Grade",68
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Phenol Formaldehyde (PF),40,,Black,180,,"Film Faced, PF Grade",68
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Melamine Urea Formaldehyde (MUF),45,,Red,80,,"Film Faced, PF Grade",74
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Melamine Urea Formaldehyde (MUF),45,,Red,100,,"Film Faced, PF Grade",74
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Melamine Urea Formaldehyde (MUF),45,,Red,120,,"Film Faced, PF Grade",74
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Melamine Urea Formaldehyde (MUF),45,,Red,180,,"Film Faced, PF Grade",74
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Melamine Urea Formaldehyde (MUF),45,,Black,80,,"Film Faced, PF Grade",75
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Melamine Urea Formaldehyde (MUF),45,,Black,100,,"Film Faced, PF Grade",75
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Melamine Urea Formaldehyde (MUF),45,,Black,120,,"Film Faced, PF Grade",75
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Melamine Urea Formaldehyde (MUF),45,,Black,180,,"Film Faced, PF Grade",75
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Phenol Formaldehyde (PF),45,,Red,80,,"Film Faced, PF Grade",74
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Phenol Formaldehyde (PF),45,,Red,100,,"Film Faced, PF Grade",74
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Phenol Formaldehyde (PF),45,,Red,120,,"Film Faced, PF Grade",74
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Phenol Formaldehyde (PF),45,,Red,180,,"Film Faced, PF Grade",74
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Phenol Formaldehyde (PF),45,,Black,80,,"Film Faced, PF Grade",75
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Phenol Formaldehyde (PF),45,,Black,100,,"Film Faced, PF Grade",75
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Phenol Formaldehyde (PF),45,,Black,120,,"Film Faced, PF Grade",75
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Phenol Formaldehyde (PF),45,,Black,180,,"Film Faced, PF Grade",75
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Melamine Urea Formaldehyde (MUF),50,,Red,80,,"Film Faced, PF Grade",81
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Melamine Urea Formaldehyde (MUF),50,,Red,100,,"Film Faced, PF Grade",81
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Melamine Urea Formaldehyde (MUF),50,,Red,120,,"Film Faced, PF Grade",81
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Melamine Urea Formaldehyde (MUF),50,,Red,180,,"Film Faced, PF Grade",81
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Melamine Urea Formaldehyde (MUF),50,,Black,80,,"Film Faced, PF Grade",82
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Melamine Urea Formaldehyde (MUF),50,,Black,100,,"Film Faced, PF Grade",82
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Melamine Urea Formaldehyde (MUF),50,,Black,120,,"Film Faced, PF Grade",82
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Melamine Urea Formaldehyde (MUF),50,,Black,180,,"Film Faced, PF Grade",82
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Phenol Formaldehyde (PF),50,,Red,80,,"Film Faced, PF Grade",81
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Phenol Formaldehyde (PF),50,,Red,100,,"Film Faced, PF Grade",81
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Phenol Formaldehyde (PF),50,,Red,120,,"Film Faced, PF Grade",81
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Phenol Formaldehyde (PF),50,,Red,180,,"Film Faced, PF Grade",81
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Phenol Formaldehyde (PF),50,,Black,80,,"Film Faced, PF Grade",82
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Phenol Formaldehyde (PF),50,,Black,100,,"Film Faced, PF Grade",82
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Phenol Formaldehyde (PF),50,,Black,120,,"Film Faced, PF Grade",82
Film Faced Shuttering Plywood,"Film Faced, PF Grade",,18,,Phenol Formaldehyde (PF),50,,Black,180,,"Film Faced, PF Grade",82
Chequered Plywood,"Chequered, High Density, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),30,,Red,80,0,"Chequered, High Density, MUF Grade",56
Chequered Plywood,"Chequered, High Density, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),30,,Red,80,1,"Chequered, High Density, MUF Grade",61
Chequered Plywood,"Chequered, High Density, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),30,,Red,80,2,"Chequered, High Density, MUF Grade",66
Chequered Plywood,"Chequered, High Density, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),30,,Red,80,3,"Chequered, High Density, MUF Grade",71
Chequered Plywood,"Chequered, High Density, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),30,,Red,100,0,"Chequered, High Density, MUF Grade",56
Chequered Plywood,"Chequered, High Density, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),30,,Red,100,1,"Chequered, High Density, MUF Grade",61
Chequered Plywood,"Chequered, High Density, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),30,,Red,100,2,"Chequered, High Density, MUF Grade",66
Chequered Plywood,"Chequered, High Density, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),30,,Red,100,3,"Chequered, High Density, MUF Grade",71
Chequered Plywood,"Chequered, High Density, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),30,,Red,120,0,"Chequered, High Density, MUF Grade",56
Chequered Plywood,"Chequered, High Density, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),30,,Red,120,1,"Chequered, High Density, MUF Grade",61
Chequered Plywood,"Chequered, High Density, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),30,,Red,120,2,"Chequered, High Density, MUF Grade",66
Chequered Plywood,"Chequered, High Density, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),30,,Red,120,3,"Chequered, High Density, MUF Grade",71
Chequered Plywood,"Chequered, High Density, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),30,,Red,180,0,"Chequered, High Density, MUF Grade",56
Chequered Plywood,"Chequered, High Density, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),30,,Red,180,1,"Chequered, High Density, MUF Grade",61
